2022-05-18 12:05:254 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-18 23:05:946 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:941 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:111 INFO  LoginPage :34 - Enter username : Satandard_user
2022-05-19 00:05:278 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (b32fd36822e2fe9e49b51b01b745f82c)] -> id: password]
2022-05-19 00:05:449 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (b32fd36822e2fe9e49b51b01b745f82c)] -> id: login-button]
2022-05-19 00:05:942 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:298 INFO  LoginPage :34 - Enter username : standard_user
2022-05-19 00:05:511 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (b7c350c5e850e011121ec78a3ca15d4d)] -> id: password]
2022-05-19 00:05:834 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (b7c350c5e850e011121ec78a3ca15d4d)] -> id: login-button]
2022-05-19 00:05:755 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:991 INFO  LoginPage :34 - Enter username : standard_user
2022-05-19 00:05:210 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (b640f0cd4d0eadf7151a160284cc78d4)] -> id: password]
2022-05-19 00:05:503 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (b640f0cd4d0eadf7151a160284cc78d4)] -> id: login-button]
2022-05-19 00:05:495 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:423 INFO  LoginPage :34 - Enter username : standard_user
2022-05-19 00:05:523 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (0228d235d361ddc56b0fd0363f97b118)] -> id: password]
2022-05-19 00:05:693 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (0228d235d361ddc56b0fd0363f97b118)] -> id: login-button]
2022-05-19 00:05:139 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:323 INFO  LoginPage :34 - Enter username : standard_user
2022-05-19 00:05:549 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (5795939771b6a4dc7fd7543e2ef79321)] -> id: password]
2022-05-19 00:05:910 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (5795939771b6a4dc7fd7543e2ef79321)] -> id: login-button]
2022-05-19 00:05:118 INFO  HomePage :25 - Sort the products with prices high to low : [[ChromeDriver: chrome on WINDOWS (5795939771b6a4dc7fd7543e2ef79321)] -> class: product_sort_container]
2022-05-19 00:05:168 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:542 INFO  LoginPage :34 - Enter username : standard_user
2022-05-19 00:05:683 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (a884957cbbafcdda4cf61728beafea38)] -> id: password]
2022-05-19 00:05:851 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (a884957cbbafcdda4cf61728beafea38)] -> id: login-button]
2022-05-19 00:05:992 INFO  HomePage :52 - Sort the products with prices high to low : [[ChromeDriver: chrome on WINDOWS (a884957cbbafcdda4cf61728beafea38)] -> class: product_sort_container]
2022-05-19 00:05:212 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:238 INFO  LoginPage :34 - Enter username : standard_user
2022-05-19 00:05:456 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (1b4318a74ed459aff8c0789bf2c9d029)] -> id: password]
2022-05-19 00:05:803 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (1b4318a74ed459aff8c0789bf2c9d029)] -> id: login-button]
2022-05-19 00:05:987 INFO  HomePage :52 - Sort the products with prices high to low : [[ChromeDriver: chrome on WINDOWS (1b4318a74ed459aff8c0789bf2c9d029)] -> class: product_sort_container]
2022-05-19 00:05:31 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 00:05:958 INFO  LoginPage :34 - Enter username : standard_user
2022-05-19 00:05:99 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (fb717ea1bdbd3d5c0d9621e80630ba5b)] -> id: password]
2022-05-19 00:05:438 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (fb717ea1bdbd3d5c0d9621e80630ba5b)] -> id: login-button]
2022-05-19 00:05:861 INFO  HomePage :52 - Sort the products with prices high to low : [[ChromeDriver: chrome on WINDOWS (fb717ea1bdbd3d5c0d9621e80630ba5b)] -> class: product_sort_container]
2022-05-19 00:05:04 INFO  HomePage :42 - Add Sauce Labs Onesie to cart : [[ChromeDriver: chrome on WINDOWS (fb717ea1bdbd3d5c0d9621e80630ba5b)] -> xpath: //button[@id='add-to-cart-sauce-labs-onesie']]
2022-05-19 00:05:133 INFO  HomePage :47 - Add Sauce Labs Fleece Jacket : [[ChromeDriver: chrome on WINDOWS (fb717ea1bdbd3d5c0d9621e80630ba5b)] -> xpath: //button[@id='add-to-cart-sauce-labs-fleece-jacket']]
2022-05-19 00:05:300 INFO  HomePage :37 - Click on cart : [[ChromeDriver: chrome on WINDOWS (fb717ea1bdbd3d5c0d9621e80630ba5b)] -> xpath: //body/div[@id='root']/div[@id='page_wrapper']/div[@id='contents_wrapper']/div[@id='header_container']/div[1]/div[3]/a[1]]
2022-05-19 01:05:67 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-19 01:05:496 INFO  LoginPage :34 - Enter username : standard_user
2022-05-19 01:05:695 INFO  LoginPage :39 - Enter password : [[ChromeDriver: chrome on WINDOWS (61d82ff4f8eee911f1451e36d5eaff1a)] -> id: password]
2022-05-19 01:05:841 INFO  LoginPage :44 - Click on login button : [[ChromeDriver: chrome on WINDOWS (61d82ff4f8eee911f1451e36d5eaff1a)] -> id: login-button]
2022-05-19 01:05:01 INFO  HomePage :52 - Sort the products with prices high to low : [[ChromeDriver: chrome on WINDOWS (61d82ff4f8eee911f1451e36d5eaff1a)] -> class: product_sort_container]
